# Upstream command surfaces — fetched evidence, not hand-edited.
# Regenerate: python3 scripts/parity.py --refresh  (needs network)
#
# source	gog	https://raw.githubusercontent.com/openclaw/gogcli/main/docs/commands/README.md	2026-08-20	sha256:ca25e66b0e7fc943578a5591405b95900f4ec25e8e926c0fe40faec529281b89
# source	gws	https://raw.githubusercontent.com/googleworkspace/cli/main/README.md	2026-08-20	sha256:499ff9600cc36f6c547e16ef5b56e7baee05afa35240c010b8873441928a39aa
#
gog	drive changes serve
gog	drive changes start-token
gog	drive changes stop
gog	drive changes watch
gog	drive comments create
gog	drive comments delete
gog	drive comments get
gog	drive comments list
gog	drive comments reopen
gog	drive comments reply
gog	drive comments resolve
gog	drive comments update
gog	drive copy
gog	drive delete
gog	drive download
gog	drive drives
gog	drive du
gog	drive get
gog	drive inventory
gog	drive labels file apply
gog	drive labels file list
gog	drive labels file remove
gog	drive labels get
gog	drive labels list
gog	drive ls
gog	drive mkdir
gog	drive move
gog	drive permissions
gog	drive raw
gog	drive rename
gog	drive revisions get
gog	drive revisions list
gog	drive search
gog	drive share
gog	drive shortcut create
gog	drive sync push
gog	drive tree
gog	drive unshare
gog	drive upload
gog	drive url
gog	forms add-question
gog	forms create
gog	forms delete-question
gog	forms get
gog	forms move-question
gog	forms publish
gog	forms questions add
gog	forms questions delete
gog	forms questions move
gog	forms raw
gog	forms responses get
gog	forms responses list
gog	forms update
gog	forms watch create
gog	forms watch delete
gog	forms watch list
gog	forms watch renew
gog	gmail archive
gog	gmail attachment
gog	gmail autoreply
gog	gmail batch delete
gog	gmail batch modify
gog	gmail drafts create
gog	gmail drafts delete
gog	gmail drafts forward
gog	gmail drafts get
gog	gmail drafts list
gog	gmail drafts reply
gog	gmail drafts reply-all
gog	gmail drafts send
gog	gmail drafts update
gog	gmail forward
gog	gmail get
gog	gmail history
gog	gmail import
gog	gmail labels create
gog	gmail labels delete
gog	gmail labels get
gog	gmail labels list
gog	gmail labels modify
gog	gmail labels rename
gog	gmail labels style
gog	gmail mark-read
gog	gmail messages modify
gog	gmail messages search
gog	gmail raw
gog	gmail reply
gog	gmail reply-all
gog	gmail search
gog	gmail send
gog	gmail settings autoforward get
gog	gmail settings autoforward update
gog	gmail settings delegates add
gog	gmail settings delegates get
gog	gmail settings delegates list
gog	gmail settings delegates remove
gog	gmail settings filters create
gog	gmail settings filters delete
gog	gmail settings filters export
gog	gmail settings filters get
gog	gmail settings filters list
gog	gmail settings forwarding create
gog	gmail settings forwarding delete
gog	gmail settings forwarding get
gog	gmail settings forwarding list
gog	gmail settings sendas create
gog	gmail settings sendas delete
gog	gmail settings sendas get
gog	gmail settings sendas list
gog	gmail settings sendas update
gog	gmail settings sendas verify
gog	gmail settings vacation get
gog	gmail settings vacation update
gog	gmail settings watch pull
gog	gmail settings watch renew
gog	gmail settings watch serve
gog	gmail settings watch start
gog	gmail settings watch status
gog	gmail settings watch stop
gog	gmail thread attachments
gog	gmail thread get
